# ell  Nll
1.058190004034290199e+00 3.213840813167854797e-14
1.181342165241892062e+00 2.833200395843385211e-14
1.318826775964497600e+00 2.496608002999350333e-14
1.472311846792305978e+00 2.199000635553752588e-14
1.643659511401461160e+00 1.935899977558961047e-14
1.834948618600361847e+00 1.703359749555135480e-14
2.048499953638502458e+00 1.497873883610625467e-14
2.286904394771438032e+00 1.316350790376054133e-14
2.553054346687010145e+00 1.156053144481112763e-14
2.850178832153968944e+00 1.014563945494125020e-14
3.181882667636945161e+00 8.897448883937869446e-15
3.552190198169808522e+00 7.797049292334154306e-15
3.965594122093942353e+00 6.827694838143713491e-15
4.427109998019950865e+00 5.974533822050820409e-15
4.942337095310006312e+00 5.224373178246852434e-15
5.517526326339829978e+00 4.565476291504407507e-15
6.159656084717863855e+00 3.987390779758140917e-15
6.876516909557009782e+00 3.480803967189523828e-15
7.676806002974983834e+00 3.037420420200068028e-15
8.570232747542139151e+00 2.649847467446498584e-15
9.567636503850703633e+00 2.311489105728623270e-15
1.068111811736609518e+01 2.016454017236140547e-15
1.192418673004662111e+01 1.759475100190446643e-15
1.331192367790070463e+01 1.535847424491055312e-15
1.486116546294311647e+01 1.341378146034415807e-15
1.659070801942894491e+01 1.172338203783480403e-15
1.852153475259354565e+01 1.025417549991872813e-15
2.067707111654287644e+01 8.976968436121068666e-16
2.308346881992075339e+01 7.866144830293831142e-16
2.576992310743395365e+01 6.899243775331156687e-16
2.876902696660381764e+01 6.056923277836930796e-16
3.211716655710237944e+01 5.322147640027148987e-16
3.585496266015788080e+01 4.680514501452462711e-16
4.002776350384570492e+01 4.119400616982866109e-16
4.468619494339050391e+01 3.628121496232210794e-16
4.988677467145645039e+01 3.197493688543100267e-16
5.569259791023600314e+01 2.819517061710184718e-16
6.217410290438947840e+01 2.487531715090444382e-16
6.940992550205908174e+01 2.195538049165881338e-16
7.748785319202828248e+01 1.938672441591710690e-16
8.650589017173351181e+01 1.712436369688737661e-16
9.657344636789957804e+01 1.513169375751709459e-16
1.078126648354063093e+02 1.337507070763252902e-16
1.203599036388461059e+02 1.182627435309662831e-16
1.343673901954686016e+02 1.046030654264886175e-16
1.500050681505712760e+02 9.255418247240572586e-17
1.674626591922627199e+02 8.192411854935391253e-17
1.869519648202441431e+02 7.254509245784868340e-17
2.087094359944611881e+02 6.426717113012151534e-17
2.329990418394854998e+02 5.695833083467783324e-17
2.601154722087362643e+02 5.050441748652357545e-17
2.903877129631515572e+02 4.480299041144034583e-17
3.241830373408198511e+02 3.976488575981937904e-17
3.619114618422414651e+02 3.531190857958960398e-17
4.040307206915531424e+02 3.169552600637209349e-17
4.510518192255904069e+02 3.104366840886878669e-17
5.035452335864123370e+02 3.030324575730809167e-17
5.621478319340944836e+02 2.948553582312182059e-17
6.275706011503194759e+02 2.916089791224005438e-17
7.006072727757973553e+02 2.948360767227045631e-17
7.821439528343505572e+02 2.965191623238937545e-17
8.731698723760039229e+02 2.856819608505702342e-17
9.747893891683648917e+02 2.718607727905003670e-17
1.088235386144945551e+03 2.766228921200127950e-17
1.214884229165008946e+03 2.824025593567018870e-17
1.356272465557623491e+03 2.644956802152222250e-17
1.514115466042413573e+03 2.292564474105829559e-17
1.690328236197192382e+03 1.938824926748052367e-17
1.887048649964370725e+03 1.626027350607897706e-17
2.106663387073027479e+03 1.236805185705826686e-17
2.351836889058369707e+03 8.406810592525718303e-18
2.625543685182969057e+03 5.203320021895736666e-18
2.931104480448972481e+03 3.085117047571129872e-18
3.272226443533475504e+03 2.110555579597078300e-18
3.653048183434122620e+03 1.662482021334054988e-18
4.078189960497100401e+03 1.458888445559596345e-18
4.552809741004957687e+03 1.365234782158196610e-18
5.082665775397825200e+03 1.416156734285494747e-18
5.674186459348520657e+03 1.397581536582646751e-18
6.334548325270132409e+03 1.284266996077440672e-18
7.071763110475885696e+03 1.086511183428481816e-18
7.894774958332156530e+03 8.324592818011421134e-19
8.813568931682477341e+03 5.651150852957622515e-19
9.839292155064671533e+03 3.304275554999803738e-19
1.098438905546022215e+04 1.605618442653217305e-19
1.226275234236310644e+04 6.198802182922567903e-20
1.368989155891032533e+04 1.797326480584628912e-20
1.528312124899431183e+04 3.648204841492337898e-21
1.706177102326535532e+04 4.748783292889408236e-22
