# ell  Nll
1.058190004034290199e+00 3.213841086600429308e-14
1.181342165241892062e+00 2.833200681046042107e-14
1.318826775964497600e+00 2.496608301251236407e-14
1.472311846792305978e+00 2.199000948237417574e-14
1.643659511401461160e+00 1.935900306166165213e-14
1.834948618600361847e+00 1.703360095695523313e-14
2.048499953638502458e+00 1.497874249015388828e-14
2.286904394771438032e+00 1.316351176906346559e-14
2.553054346687010145e+00 1.156053554134488627e-14
2.850178832153968944e+00 1.014564380414027318e-14
3.181882667636945161e+00 8.897453508795527341e-15
3.552190198169808522e+00 7.797054217533119128e-15
3.965594122093942353e+00 6.827700090213661473e-15
4.427109998019950865e+00 5.974539429559007381e-15
4.942337095310006312e+00 5.224379172027430168e-15
5.517526326339829978e+00 4.565482704934374357e-15
6.159656084717863855e+00 3.987397649090860385e-15
6.876516909557009782e+00 3.480811331964829278e-15
7.676806002974983834e+00 3.037428323758683230e-15
8.570232747542139151e+00 2.649855957558888041e-15
9.567636503850703633e+00 2.311498235333748228e-15
1.068111811736609518e+01 2.016463845284078407e-15
1.192418673004662111e+01 1.759485692561275665e-15
1.331192367790070463e+01 1.535858854992216982e-15
1.486116546294311647e+01 1.341390497484367143e-15
1.659070801942894491e+01 1.172351569134995008e-15
1.852153475259354565e+01 1.025432033424182114e-15
2.067707111654287644e+01 8.977125617058940368e-16
2.308346881992075339e+01 7.866315660048730490e-16
2.576992310743395365e+01 6.899429703135384694e-16
2.876902696660381764e+01 6.057125918175230641e-16
3.211716655710237944e+01 5.322368777879929185e-16
3.585496266015788080e+01 4.680756118073331944e-16
4.002776350384570492e+01 4.119664896728850281e-16
4.468619494339050391e+01 3.628410853407276589e-16
4.988677467145645039e+01 3.197810790069917971e-16
5.569259791023600314e+01 2.819864839703675197e-16
6.217410290438947840e+01 2.487913419614956901e-16
6.940992550205908174e+01 2.195957242761826627e-16
7.748785319202828248e+01 1.939133089240690369e-16
8.650589017173351181e+01 1.712942821786819519e-16
9.657344636789957804e+01 1.513726476323681472e-16
1.078126648354063093e+02 1.338120157022032343e-16
1.203599036388461059e+02 1.183302438252891288e-16
1.343673901954686016e+02 1.046774158422072951e-16
1.500050681505712760e+02 9.263611614383725317e-17
1.674626591922627199e+02 8.201445218540546339e-17
1.869519648202441431e+02 7.264473843979902946e-17
2.087094359944611881e+02 6.437714697731005178e-17
2.329990418394854998e+02 5.707977168193213522e-17
2.601154722087362643e+02 5.063859544505464793e-17
2.903877129631515572e+02 4.495132798984858116e-17
3.241830373408198511e+02 3.992897843595669991e-17
3.619114618422414651e+02 3.549355028352256293e-17
4.040307206915531424e+02 3.189879257139226311e-17
4.510518192255904069e+02 3.129192180361117397e-17
5.035452335864123370e+02 3.060549233376642679e-17
5.621478319340944836e+02 2.985243511137678733e-17
6.275706011503194759e+02 2.961373789419885491e-17
7.006072727757973553e+02 3.005522110059551864e-17
7.821439528343505572e+02 3.036998171448734503e-17
8.731698723760039229e+02 2.943285540066113064e-17
9.747893891683648917e+02 2.821523932678724327e-17
1.088235386144945551e+03 2.897329045700605968e-17
1.214884229165008946e+03 2.991775758839822264e-17
1.356272465557623491e+03 2.842161837079942498e-17
1.514115466042413573e+03 2.507499916325232529e-17
1.690328236197192382e+03 2.167906936703161719e-17
1.887048649964370725e+03 1.868841299809375891e-17
2.106663387073027479e+03 1.471056913052177056e-17
2.351836889058369707e+03 1.043538443264736542e-17
2.625543685182969057e+03 6.812004106796000145e-18
2.931104480448972481e+03 4.315950346662636544e-18
3.272226443533475504e+03 3.207062899513371035e-18
3.653048183434122620e+03 2.800377348286867311e-18
4.078189960497100401e+03 2.794162175406016601e-18
4.552809741004957687e+03 3.068613784474371547e-18
5.082665775397825200e+03 3.885706528187050894e-18
5.674186459348520657e+03 4.916932687342674380e-18
6.334548325270132409e+03 6.159141594448084792e-18
7.071763110475885696e+03 7.666286832054170273e-18
7.894774958332156530e+03 9.503859804113828886e-18
8.813568931682477341e+03 1.175255952666418952e-17
9.839292155064671533e+03 1.451043368224203701e-17
1.098438905546022215e+04 1.789803256150712284e-17
1.226275234236310644e+04 2.206335707208800176e-17
1.368989155891032533e+04 2.718790199391624824e-17
1.528312124899431183e+04 3.349528037496544051e-17
1.706177102326535532e+04 4.126041101496138691e-17
