# ell  Nl
1.000000000000000000e+01 5.900664061769440824e-16
1.299999999999999822e+01 5.498592341574984906e-16
1.700000000000000000e+01 3.528713457130818492e-16
2.200000000000000000e+01 5.366320051532914895e-16
2.799999999999999645e+01 3.242010018820096597e-16
3.650000000000000000e+01 8.621126415436560735e-17
4.700000000000000711e+01 8.434704609485462154e-17
6.000000000000000711e+01 3.427918657950393173e-17
7.750000000000000000e+01 2.533087488109097715e-17
1.000000000000000000e+02 3.116262771665890250e-17
1.290000000000000284e+02 3.571739899454441944e-17
1.660000000000000284e+02 3.043680620429499240e-17
2.134999999999999716e+02 2.568384252139957507e-17
2.749999999999998863e+02 2.435358209717077918e-17
3.539999999999994884e+02 2.316987236331852737e-17
4.559999999999995453e+02 1.964810182502761445e-17
5.875000000000000000e+02 1.700030515750724342e-17
7.565000000000000000e+02 1.302067244279647784e-17
9.735000000000000000e+02 8.669685042854762929e-18
1.253500000000000682e+03 4.673070137882334651e-18
