# ell  Nll
1.000000000000000000e+01 5.902077151860834101e-16
1.299999999999999822e+01 5.500472741634639228e-16
1.700000000000000000e+01 3.530645253637762899e-16
2.200000000000000000e+01 5.370684730953090969e-16
2.799999999999999645e+01 3.246203810669884290e-16
3.650000000000000000e+01 8.640462880158202566e-17
4.700000000000000711e+01 8.464577536994753945e-17
6.000000000000000711e+01 3.447621396089566346e-17
7.750000000000000000e+01 2.557389886651139320e-17
1.000000000000000000e+02 3.164532071525739566e-17
1.290000000000000284e+02 3.663869254331752673e-17
1.660000000000000284e+02 3.175176048454299707e-17
2.134999999999999716e+02 2.753519559193592021e-17
2.749999999999998863e+02 2.732760693999025446e-17
3.539999999999994884e+02 2.805512559720873488e-17
4.559999999999995453e+02 2.699419185216596111e-17
5.875000000000000000e+02 2.878068980351795362e-17
7.565000000000000000e+02 3.118494334032219055e-17
9.735000000000000000e+02 3.687026042418278351e-17
1.253500000000000682e+03 5.144402532559290313e-17
