#         patch                     x                        y                        z            
  0.0000000000000000e+00   9.9346711125807075e-01  -9.0475514150153896e-02  -6.9550558501062579e-02
  1.0000000000000000e+00   9.9489335554442004e-01  -1.0061840097961695e-01  -7.9466016553899222e-03
  2.0000000000000000e+00   9.9746599210434395e-01  -7.0960902754794455e-02   5.1132059924947426e-03
  3.0000000000000000e+00   9.9451722037521317e-01   7.9532167852959437e-03  -1.0427005667940220e-01
  4.0000000000000000e+00   9.9968763278298700e-01   1.8663988948117587e-02   1.6622044919096898e-02
  5.0000000000000000e+00   9.9413642481122844e-01   8.6302585229925385e-02   6.5150845322070577e-02
  6.0000000000000000e+00   9.8773850399326379e-01   1.5600064695626331e-01   6.0370421877315051e-03
  7.0000000000000000e+00   9.6449104164855148e-01   2.5600067464883702e-01   6.4966800437090536e-02
  8.0000000000000000e+00   9.5917499030748987e-01   2.8112386867628986e-01  -3.0865975265699879e-02
  9.0000000000000000e+00   9.4398441136475131e-01   3.2997165356496289e-01  -3.4840987282409169e-03
  1.0000000000000000e+01   9.5894267789476351e-01   2.8343492753022870e-01   9.6737980108081989e-03
  1.1000000000000000e+01   9.6104355222623550e-01   2.7501604832205573e-01   2.7594635161563540e-02
  1.2000000000000000e+01   8.8992196694379433e-01   4.3870004781605260e-01  -1.2482452001542475e-01
  1.3000000000000000e+01   9.1337453050360362e-01   4.0049279485700867e-01  -7.3160701848353979e-02
  1.4000000000000000e+01   8.7981214215422110e-01   4.6719781471598315e-01  -8.7503122473488251e-02
  1.5000000000000000e+01   8.7227556711798460e-01   4.8890745384950157e-01  -1.0238973551868256e-02
  1.6000000000000000e+01   8.3161664212365038e-01   5.4760242181324659e-01  -9.2441052391519035e-02
  1.7000000000000000e+01   7.7625492517609940e-01   6.2612687268985678e-01  -7.3439978454981250e-02
  1.8000000000000000e+01   8.5005378672018927e-01   5.2669268710080885e-01   1.8365830219365239e-03
  1.9000000000000000e+01   7.8706370723847963e-01   6.1621669901899168e-01   2.8420073859125247e-02
