#         patch                     x                        y                        z            
  0.0000000000000000e+00  -2.6300403680476359e-01  -2.4723807582093854e-01  -9.3257825971269481e-01
  1.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  2.0000000000000000e+00  -2.0072444121253902e-01  -2.6912799308295193e-01  -9.4195531849395953e-01
  3.0000000000000000e+00  -2.8227040824274152e-01  -1.7698888754438960e-01  -9.4286709048321093e-01
  4.0000000000000000e+00  -2.3418971024730612e-01  -1.9319058143627918e-01  -9.5280248680332236e-01
  5.0000000000000000e+00  -2.5272161448870128e-01  -1.4021902241669815e-01  -9.5732461125927903e-01
  6.0000000000000000e+00  -3.4011146636736722e-01  -1.4709550975383540e-01  -9.2880950762559400e-01
  7.0000000000000000e+00  -2.6220167460961136e-01  -9.8378229430286596e-02  -9.5998541957994210e-01
  8.0000000000000000e+00  -2.7324069778159338e-01  -8.4406614796716337e-02  -9.5823538050647383e-01
  9.0000000000000000e+00  -2.2377977870809096e-01  -5.4285597344648065e-02  -9.7312675667781978e-01
  1.0000000000000000e+01  -2.0192073492804258e-01  -3.3177701029376915e-02  -9.7883975039866689e-01
  1.1000000000000000e+01  -1.7662584933357478e-01  -4.7637094804624899e-02  -9.8312461903146775e-01
  1.2000000000000000e+01  -1.6936093062933347e-01  -2.7774133550136881e-01  -9.4560912946644193e-01
  1.3000000000000000e+01  -1.3493586889691150e-01  -2.9262266532818582e-01  -9.4665954124028351e-01
  1.4000000000000000e+01  -1.3808139829891572e-01  -3.1272303389032519e-01  -9.3975413354677340e-01
  1.5000000000000000e+01  -6.5706945183874849e-02  -3.2438121649344315e-01  -9.4364157588611863e-01
  1.6000000000000000e+01  -5.1906394736976530e-02  -2.8068739475962778e-01  -9.5839465389184120e-01
  1.7000000000000000e+01  -7.1709656430741509e-02  -1.8445670508753226e-01  -9.8022112256512617e-01
  1.8000000000000000e+01  -6.6348187526811389e-02  -1.9403611118517053e-01  -9.7874813183374365e-01
  1.9000000000000000e+01  -1.6540690952765830e-01  -1.6225657842879473e-01  -9.7278638818452301e-01
  2.0000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  2.1000000000000000e+01  -3.9727384128038098e-02  -1.5141354619140568e-01  -9.8767184478453496e-01
  2.2000000000000000e+01  -8.7126892582446575e-02  -5.6554616366377548e-02  -9.9459060922400566e-01
  2.3000000000000000e+01  -1.0370411296320856e-01  -3.3451652863654383e-02  -9.9404549386595165e-01
  2.4000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  2.5000000000000000e+01  -3.2710615883364513e-01  -2.8007585198942891e-02  -9.4457246202947398e-01
  2.6000000000000000e+01  -2.6667940426114445e-01  -2.9899336442223575e-03  -9.6378065743182673e-01
  2.7000000000000000e+01  -2.2859270833876313e-01  -2.0839937532236990e-02  -9.7329906539459987e-01
  2.8000000000000000e+01  -2.9140372153664240e-01   9.1663468884469954e-02  -9.5219834044523555e-01
  2.9000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  3.0000000000000000e+01  -2.6160903210691588e-01   1.0022926243680369e-01  -9.5995562880346574e-01
  3.1000000000000000e+01  -2.2084322735409992e-01  -4.2333132393517110e-03  -9.7530013226229129e-01
  3.2000000000000000e+01  -2.0744905334651298e-01  -1.1426260152919393e-02  -9.7817908935151210e-01
  3.3000000000000000e+01  -2.2313140740884063e-01   7.0340512781504758e-02  -9.7224718425377044e-01
  3.4000000000000000e+01  -1.6444885143497109e-01   2.5577691689403003e-02  -9.8605393206941816e-01
  3.5000000000000000e+01  -1.5860141991820256e-01   6.3086132446220036e-02  -9.8532518971804839e-01
  3.6000000000000000e+01  -7.0158217791854355e-02   5.2771339204570515e-03  -9.9752191772103749e-01
  3.7000000000000000e+01  -3.1323442131314222e-01   1.0898314794217343e-01  -9.4340175469904408e-01
  3.8000000000000000e+01  -2.7603672386436123e-01   1.7452863572120328e-01  -9.4516849418054871e-01
  3.9000000000000000e+01  -2.7000593163970799e-01   1.9225102078721459e-01  -9.4347037149326918e-01
  4.0000000000000000e+01  -1.9827951878769257e-01   1.7276242914101833e-01  -9.6479965563147652e-01
  4.1000000000000000e+01  -1.8511203975829829e-01   1.7563328300391601e-01  -9.6689528007834880e-01
  4.2000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  4.3000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  4.4000000000000000e+01  -8.7649185644225733e-02   1.4224333467062195e-01  -9.8594343346750146e-01
  4.5000000000000000e+01  -3.3895709494712975e-02   1.1275828143198398e-01  -9.9304413338298092e-01
  4.6000000000000000e+01  -8.0167136175859580e-03   1.2759581400523293e-01  -9.9179384982521224e-01
  4.7000000000000000e+01  -1.1044109081215055e-01   3.4941882019917891e-01  -9.3043498082930876e-01
  4.8000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  4.9000000000000000e+01  -7.9184839922602515e-02   3.1582688444833962e-01  -9.4550681657304136e-01
  5.0000000000000000e+01   7.1123658181633631e-02  -2.4965317302021253e-01  -9.6571979292536092e-01
  5.1000000000000000e+01   1.0680315549729083e-01  -2.6152570963270494e-01  -9.5926919536537381e-01
  5.2000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  5.3000000000000000e+01   1.1622586084849303e-01  -2.8689871672141637e-01  -9.5088415467586340e-01
  5.4000000000000000e+01   1.1335407421644619e-01  -2.7091588081643697e-01  -9.5590555986456449e-01
  5.5000000000000000e+01   1.4052375297965747e-01  -2.7116234610870038e-01  -9.5222059256316105e-01
  5.6000000000000000e+01   3.7016940270586794e-02  -1.7074141579465912e-01  -9.8462028978964244e-01
  5.7000000000000000e+01   7.9678376023100433e-02  -1.8728740678638556e-01  -9.7906832430303470e-01
  5.8000000000000000e+01   1.2331086353377341e-01  -1.5120640717579609e-01  -9.8078083859929821e-01
  5.9000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  6.0000000000000000e+01   1.7775131240070203e-02  -1.1533875434239406e-01  -9.9316716440695074e-01
  6.1000000000000000e+01   1.2557650142505747e-01  -6.9062774908728475e-02  -9.8967715716376370e-01
  6.2000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  6.3000000000000000e+01   1.8681333948067530e-01  -2.8433043779293093e-01  -9.4034939162874887e-01
  6.4000000000000000e+01   1.8833679472561196e-01  -2.3030627947996851e-01  -9.5471894785040146e-01
  6.5000000000000000e+01   1.9708045421406331e-01  -2.0558209746708417e-01  -9.5859026479920650e-01
  6.6000000000000000e+01   2.1838122072765873e-01  -1.6225803097152430e-01  -9.6227957154807220e-01
  6.7000000000000000e+01   2.7462677632426008e-01  -1.6916188566435361e-01  -9.4655395523140939e-01
  6.8000000000000000e+01   2.1402908176110544e-01  -8.6929830178950562e-02  -9.7295156959920515e-01
  6.9000000000000000e+01   2.6517660394512643e-01  -9.5990170657270363e-02  -9.5940984769665449e-01
  7.0000000000000000e+01   2.5891187197823645e-01  -8.0413271806757017e-02  -9.6254784206607513e-01
  7.1000000000000000e+01   2.8600824298188487e-01  -1.0247520334863523e-01  -9.5273192328433653e-01
  7.2000000000000000e+01   2.8497693584513134e-01  -6.3708604025758703e-02  -9.5641484712932445e-01
  7.3000000000000000e+01   3.0619570046012223e-01  -3.8135117567508432e-02  -9.5120445006730669e-01
  7.4000000000000000e+01   4.0855923017490005e-02  -2.0700334434379856e-02  -9.9895059422810983e-01
  7.5000000000000000e+01   2.2730988108995185e-02   1.0484013759770727e-01  -9.9422927322025823e-01
  7.6000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  7.7000000000000000e+01   1.3195408908718581e-01   3.1059289889325010e-02  -9.9076911482178420e-01
  7.8000000000000000e+01   1.8526953071916610e-01   1.3274917205247094e-02  -9.8259807528831122e-01
  7.9000000000000000e+01   1.7820667042900434e-01   8.3549633065167661e-02  -9.8043961641157895e-01
  8.0000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  8.1000000000000000e+01   2.1745625308088701e-01  -3.1189734061505662e-02  -9.7557161627693623e-01
  8.2000000000000000e+01   2.8190001574598200e-01  -1.9296052028349244e-02  -9.5924972947535114e-01
  8.3000000000000000e+01   3.0150350632422590e-01   1.4821538599301897e-02  -9.5334986110438324e-01
